"","uid","cover"
"374","HP.6.C.79.2015",79
"375","HP.6.C.84.2017",124
"376","HP.6.C.85.2017",171
"377","HP.6.C.86.2016",161
"378","HP.6.C.96.2015",71
"379","HP.7.A.17.2017",101
"380","HP.7.A.24.2016",100
"381","HP.7.A.24.2017",79
"382","HP.7.A.33.2017",95
"383","HP.7.A.50.2015",105
"384","HP.7.A.59.2015",91
"385","HP.7.A.63.2016",106
"386","HP.7.A.98.2015",91
"387","HP.7.A.99.2016",89
"388","HP.7.B.17.2015",113
"389","HP.7.B.24.2015",99
"390","HP.7.B.24.2017",85
"391","HP.7.B.33.2015",108
"392","HP.7.B.50.2016",69
"393","HP.7.B.59.2016",128
"394","HP.7.B.63.2017",131
"395","HP.7.B.98.2016",114
"396","HP.7.B.99.2017",102
"397","HP.7.C.17.2016",90
"398","HP.7.C.24.2015",94
"399","HP.7.C.24.2016",78
"400","HP.7.C.33.2016",102
"401","HP.7.C.50.2017",105
"402","HP.7.C.59.2017",98
"403","HP.7.C.63.2015",111
"404","HP.7.C.98.2017",98
"405","HP.7.C.99.2015",102
"406","HP.8.A.12.2016",64
"407","HP.8.A.16.2015",86
"408","HP.8.A.31.2016",71
"409","HP.8.A.42.2015",121
"410","HP.8.A.45.2017",70
"411","HP.8.A.47.2016",72
"412","HP.8.A.53.2015",86
"413","HP.8.A.66.2017",92
"414","HP.8.A.91.2017",70
"415","HP.8.B.12.2017",112
"416","HP.8.B.16.2016",126
"417","HP.8.B.31.2017",131
"418","HP.8.B.42.2016",91
"419","HP.8.B.45.2015",125
"420","HP.8.B.47.2017",99
"421","HP.8.B.53.2016",108
"422","HP.8.B.66.2015",97
"423","HP.8.B.91.2015",80
"424","HP.8.C.12.2015",113
"425","HP.8.C.16.2017",123
"426","HP.8.C.37.2015",98
"427","HP.8.C.41.2015",85
"428","HP.8.C.42.2017",131
"429","HP.8.C.45.2016",87
"430","HP.8.C.53.2017",116
"431","HP.8.C.66.2016",120
"432","HP.8.C.91.2016",92
"433","LM.1.A.11.2016",127
"434","LM.1.A.20.2017",175
"435","LM.1.A.35.2017",124
"436","LM.1.A.44.2016",114
"437","LM.1.A.51.2015",128
"438","LM.1.A.61.2015",142
"439","LM.1.A.64.2015",120
"440","LM.1.A.85.2017",137
"441","LM.1.A.91.2016",112
"442","LM.1.B.11.2017",146
"443","LM.1.B.20.2015",145
"444","LM.1.B.35.2015",126
"445","LM.1.B.44.2017",111
"446","LM.1.B.51.2016",148
"447","LM.1.B.54.2016",121
"448","LM.1.B.61.2016",119
"449","LM.1.B.85.2015",141
"450","LM.1.B.91.2017",189
"451","LM.1.C.11.2015",137
"452","LM.1.C.20.2016",103
"453","LM.1.C.35.2016",125
"454","LM.1.C.44.2015",114
"455","LM.1.C.51.2017",175
"456","LM.1.C.54.2017",141
"457","LM.1.C.61.2017",121
"458","LM.1.C.86.2016",185
"459","LM.1.C.91.2015",151
"460","LM.2.A.15.2015",169
"461","LM.2.A.29.2016",123
"462","LM.2.A.35.2015",149
"463","LM.2.A.53.2017",144
"464","LM.2.A.59.2017",140
"465","LM.2.A.6.2017",174
"466","LM.2.A.71.2016",151
"467","LM.2.A.8.2015",148
"468","LM.2.A.80.2016",144
"469","LM.2.B.15.2016",141
"470","LM.2.B.29.2017",197
"471","LM.2.B.35.2016",162
"472","LM.2.B.56.2015",175
"473","LM.2.B.59.2015",151
"474","LM.2.B.6.2015",174
"475","LM.2.B.71.2017",161
"476","LM.2.B.8.2016",117
"477","LM.2.B.80.2017",141
"478","LM.2.C.15.2017",132
"479","LM.2.C.29.2015",162
"480","LM.2.C.32.2016",141
"481","LM.2.C.35.2017",184
"482","LM.2.C.59.2016",154
"483","LM.2.C.6.2016",129
"484","LM.2.C.71.2015",141
"485","LM.2.C.8.2017",140
"486","LM.2.C.80.2015",158
"487","LM.3.A.3.2017",206
"488","LM.3.A.31.2015",157
"489","LM.3.A.47.2015",146
"490","LM.3.A.52.2016",148
"491","LM.3.A.7.2016",143
"492","LM.3.A.73.2017",150
"493","LM.3.A.74.2015",150
"494","LM.3.A.82.2016",125
"495","LM.3.A.88.2017",123
"496","LM.3.B.3.2015",149
"497","LM.3.B.31.2016",117
"498","LM.3.B.47.2016",127
"499","LM.3.B.52.2017",142
"500","LM.3.B.7.2017",154
"501","LM.3.B.73.2015",141
"502","LM.3.B.74.2016",128
"503","LM.3.B.82.2017",140
"504","LM.3.B.88.2015",168
"505","LM.3.C.3.2016",156
"506","LM.3.C.31.2017",175
"507","LM.3.C.47.2017",157
"508","LM.3.C.52.2015",146
"509","LM.3.C.7.2015",107
"510","LM.3.C.73.2016",129
"511","LM.3.C.74.2017",133
"512","LM.3.C.82.2015",143
"513","LM.3.C.88.2016",197
"514","LM.4.A.19.2015",144
"515","LM.4.A.19.2017",136
"516","LM.4.A.2.2015",194
"517","LM.4.A.2.2017",162
"518","LM.4.A.38.2015",200
"519","LM.4.A.38.2017",131
"520","LM.4.A.58.2016",126
"521","LM.4.A.65.2016",136
"522","LM.4.A.73.2016",117
"523","LM.4.B.19.2015",141
"524","LM.4.B.2.2015",143
"525","LM.4.B.24.2016",168
"526","LM.4.B.38.2015",118
"527","LM.4.B.58.2017",146
"528","LM.4.B.65.2017",186
"529","LM.4.B.67.2016",146
"530","LM.4.B.73.2017",131
"531","LM.4.B.9.2016",166
"532","LM.4.C.19.2016",97
"533","LM.4.C.2.2016",113
"534","LM.4.C.24.2017",136
"535","LM.4.C.38.2016",164
"536","LM.4.C.58.2015",154
"537","LM.4.C.65.2015",117
"538","LM.4.C.67.2017",209
"539","LM.4.C.73.2015",155
"540","LM.4.C.9.2017",142
"541","LM.5.A.10.2015",166
"542","LM.5.A.10.2017",121
"543","LM.5.A.14.2016",202
"544","LM.5.A.28.2016",137
"545","LM.5.A.29.2017",180
"546","LM.5.A.41.2016",133
"547","LM.5.A.78.2015",182
"548","LM.5.A.80.2017",143
"549","LM.5.A.83.2015",187
"550","LM.5.B.10.2015",155
"551","LM.5.B.10.2016",93
"552","LM.5.B.14.2017",129
"553","LM.5.B.28.2017",128
"554","LM.5.B.29.2015",127
"555","LM.5.B.41.2017",127
"556","LM.5.B.78.2016",123
"557","LM.5.B.80.2015",198
"558","LM.5.B.83.2016",144
"559","LM.5.C.10.2016",90
"560","LM.5.C.10.2017",177
"561","LM.5.C.14.2015",123
"562","LM.5.C.28.2015",120
"563","LM.5.C.29.2016",139
"564","LM.5.C.41.2015",118
"565","LM.5.C.78.2017",93
