"uid","cover"
"HP.6.B.48b.2015",68
"HP.6.B.79.2017",131
"HP.6.B.84.2016",119
"HP.6.B.85.2016",101
"HP.6.B.86.2015",97
"HP.6.B.96.2017",73
"HP.6.C.13.2017",75
"HP.6.C.3.2015",91
"HP.6.C.47.2016",87
"HP.6.C.48.2016",74
"HP.6.C.79.2015",79
"HP.6.C.84.2017",124
"HP.6.C.85.2017",171
"HP.6.C.86.2016",161
"HP.6.C.96.2015",71
"HP.7.A.17.2017",101
"HP.7.A.24.2016",100
"HP.7.A.24.2017",79
"HP.7.A.33.2017",95
"HP.7.A.50.2015",105
"HP.7.A.59.2015",91
"HP.7.A.63.2016",106
"HP.7.A.98.2015",91
"HP.7.A.99.2016",89
"HP.7.B.17.2015",113
"HP.7.B.24.2015",99
"HP.7.B.24.2017",85
"HP.7.B.33.2015",108
"HP.7.B.50.2016",69
"HP.7.B.59.2016",128
"HP.7.B.63.2017",131
"HP.7.B.98.2016",114
"HP.7.B.99.2017",102
"HP.7.C.17.2016",90
"HP.7.C.24.2015",94
"HP.7.C.24.2016",78
"HP.7.C.33.2016",102
"HP.7.C.50.2017",105
"HP.7.C.59.2017",98
"HP.7.C.63.2015",111
"HP.7.C.98.2017",98
"HP.7.C.99.2015",102
"HP.8.A.12.2016",64
"HP.8.A.16.2015",86
"HP.8.A.31.2016",71
"HP.8.A.42.2015",121
"HP.8.A.45.2017",70
"HP.8.A.47.2016",72
"HP.8.A.53.2015",86
"HP.8.A.66.2017",92
"HP.8.A.91.2017",70
"HP.8.B.12.2017",112
"HP.8.B.16.2016",126
"HP.8.B.31.2017",131
"HP.8.B.42.2016",91
"HP.8.B.45.2015",125
"HP.8.B.47.2017",99
"HP.8.B.53.2016",108
"HP.8.B.66.2015",97
"HP.8.B.91.2015",80
"HP.8.C.12.2015",113
"HP.8.C.16.2017",123
"HP.8.C.37.2015",98
"HP.8.C.41.2015",85
"HP.8.C.42.2017",131
"HP.8.C.45.2016",87
"HP.8.C.53.2017",116
"HP.8.C.66.2016",120
"HP.8.C.91.2016",92
"LM.1.A.11.2016",127
"LM.1.A.20.2017",175
"LM.1.A.35.2017",124
"LM.1.A.44.2016",114
"LM.1.A.51.2015",128
"LM.1.A.61.2015",142
"LM.1.A.64.2015",120
