"uid","grass","herb","horsetail","moss","rush","sedge","woodrush","cover_tot"
"HM.7.B.24.2017",46,67,1,0,20,15,0,149
"HM.7.B.33.2015",43,45,0,0,19,0,0,107
"HM.7.B.50.2016",59,77,0,0,19,2,0,157
"HM.7.B.59.2016",59,61,1,0,9,14,0,144
"HM.7.B.63.2017",50,41,0,0,13,0,0,104
"HM.7.B.98.2016",40,35,0,0,41,17,0,133
"HM.7.B.99.2017",45,61,0,0,36,15,0,157
"HM.7.C.17.2016",45,62,0,0,14,4,0,125
"HM.7.C.24.2015",41,50,0,0,23,7,0,121
"HM.7.C.24.2016",81,78,0,0,10,14,0,183
"HM.7.C.33.2016",40,42,0,0,10,2,0,94
"HM.7.C.50.2017",23,71,0,0,11,1,0,106
"HM.7.C.59.2017",14,40,0,0,20,14,0,88
"HM.7.C.63.2015",31,52,0,0,30,9,0,122
"HM.7.C.98.2017",30,67,0,0,21,1,0,119
"HM.7.C.99.2015",39,57,0,0,35,9,1,141
"HM.8.A.12.2016",61,72,0,0,9,2,0,144
"HM.8.A.16.2015",53,45,1,1,12,2,0,114
"HM.8.A.31.2016",71,55,0,0,61,16,0,203
"HM.8.A.42.2015",47,64,0,1,16,6,0,134
"HM.8.A.45.2017",62,66,1,0,42,14,0,185
"HM.8.A.47.2016",79,78,0,0,54,11,0,222
"HM.8.A.53.2015",47,47,0,2,16,17,0,129
"HM.8.A.66.2017",58,54,0,0,46,5,0,163
"HM.8.A.91.2017",41,47,1,0,11,14,0,114
"HM.8.B.12.2017",18,82,0,0,17,1,0,118
"HM.8.B.16.2016",37,56,0,0,7,6,0,106
"HM.8.B.31.2017",48,77,0,0,15,2,0,142
"HM.8.B.42.2016",46,41,1,0,51,4,0,143
"HM.8.B.45.2015",50,43,0,1,33,2,0,129
"HM.8.B.47.2017",59,69,0,0,12,14,0,154
"HM.8.B.53.2016",40,75,0,0,48,14,0,177
"HM.8.B.66.2015",32,52,0,0,42,2,1,129
